population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,0.630041075,8.093268505,0.631330595,0.143824758,0.192568711,17.59830109,2.520164302,2.525322382,7.463227429,dpf
LO-Cisco,9.0°C,0.82651302,6.401211751,0.981305826,0.058119911,0.913073278,15.68130754,3.306052081,3.925223305,5.574698731,dpf
LO-Cisco,9.0°C,0.73670583,7.669031035,0.860315518,0.049988072,0.439237412,16.04758293,2.946823322,3.441262073,6.932325205,dpf
LO-Cisco,9.0°C,0.675041995,7.273400319,1.194336151,0.318228863,0.276583098,15.98065771,2.700167981,4.777344603,6.598358324,dpf
LO-Cisco,9.0°C,0.224193476,7.420784639,1.1587027,0,1.60E-07,17.19824905,0.896773906,4.6348108,7.196591163,dpf
LO-Cisco,9.0°C,0.15215163,6.887159733,2.148328192,0.414935988,0.821871548,16.1728033,0.608606521,8.593312769,6.735008103,dpf
LO-Cisco,9.0°C,1.023208988,8.419586926,0.685698677,0,1.55E-08,16.17961183,4.092835952,2.742794708,7.396377938,dpf
LO-Cisco,9.0°C,1.362674746,7.515842056,1.067062422,0,0,16.35248241,5.450698984,4.268249688,6.15316731,dpf
LO-Cisco,9.0°C,0.947702666,7.443483921,0.94979457,4.12E-09,0.235444246,16.2254455,3.790810663,3.79917828,6.495781255,dpf
LO-Cisco,9.0°C,1.376621075,8.248311192,0.566265249,0.082738958,0,15.58637367,5.5064843,2.265060996,6.871690117,dpf
LO-Cisco,9.0°C,1.19690725,6.394271596,1.248608176,0,0,16.37045649,4.787629001,4.994432705,5.197364346,dpf
LO-Cisco,9.0°C,0.615249877,7.827494863,0.960571333,0,1.125040447,16.02090647,2.460999509,3.842285333,7.212244986,dpf
LO-Cisco,9.0°C,1.533001276,6.492231955,1.419028818,0,0.095326926,16.40123122,6.132005105,5.676115274,4.959230679,dpf
LO-Cisco,9.0°C,1.422358427,7.486633154,0.907972069,0.020403556,8.59E-08,16.26529425,5.689433708,3.631888275,6.064274727,dpf
LO-Cisco,9.0°C,0.638935283,6.455233946,1.090021446,0,18230.23669,16.45330387,2.555741132,4.360085784,5.816298663,dpf
LO-Cisco,9.0°C,1.151734015,7.96098769,0.339506484,0.120606988,8.88E-07,15.65068298,4.60693606,1.358025937,6.809253675,dpf
LO-Cisco,9.0°C,0.854238734,9.188159436,0.802002124,0,2.37E-07,17.42881758,3.416954935,3.208008498,8.333920702,dpf
LO-Cisco,9.0°C,0.914000694,7.640451584,1.599318203,0.234301839,0.243610989,17.00729978,3.656002776,6.397272814,6.72645089,dpf
LO-Cisco,9.0°C,1.144155359,6.831376257,0.893250234,0,0.462855593,16.75894671,4.576621435,3.573000936,5.687220898,dpf
LO-Cisco,9.0°C,0.975262671,5.863842451,1.045222219,0.018156212,0.603849945,16.36703412,3.901050683,4.180888875,4.88857978,dpf
LO-Cisco,9.0°C,1.025865601,6.616340712,1.000010908,0.397621058,0.511543957,16.31946753,4.103462406,4.000043631,5.590475111,dpf
LO-Cisco,9.0°C,1.019248714,7.475379723,0.726834456,0.063981884,0,15.75491889,4.076994858,2.907337822,6.456131008,dpf
LO-Cisco,9.0°C,1.128371877,6.621030128,0.524654873,3.54E-08,1.20E-06,16.67642241,4.51348751,2.098619491,5.492658251,dpf
LO-Cisco,9.0°C,0.568949215,6.860227295,0.998839603,0,0.522189731,17.60908127,2.275796859,3.995358413,6.29127808,dpf
LO-Cisco,9.0°C,0.650210902,7.479376491,1.223415639,1.78E-07,0.162517261,16.87475046,2.600843608,4.893662557,6.829165589,dpf
LO-Cisco,9.0°C,0.5032357,7.361755974,1.537459196,0,6.84E-08,16.70744543,2.0129428,6.149836786,6.858520274,dpf
LO-Cisco,9.0°C,0.89211916,7.125089282,1.112015173,0,0,16.13543711,3.56847664,4.448060692,6.232970122,dpf
LO-Cisco,9.0°C,0.956107412,6.561382268,0.628463556,0,0,16.76177361,3.824429647,2.513854225,5.605274857,dpf
LO-Cisco,9.0°C,0.802854675,7.272403552,1.21478264,0,2.90E-08,16.37664035,3.211418699,4.859130558,6.469548878,dpf
LO-Cisco,9.0°C,0.905526409,7.655587357,1.057764934,0,0,16.36707681,3.622105634,4.231059736,6.750060949,dpf
LO-Cisco,9.0°C,0.588324882,6.582637852,1.023077292,0,1.587225344,17.17347559,2.353299529,4.092309167,5.99431297,dpf
LO-Cisco,9.0°C,0.245727862,6.534421113,0.977113177,0.257577883,0.596111455,15.5739794,0.982911449,3.908452708,6.288693251,dpf
LO-Cisco,9.0°C,1.165424272,7.925819023,0.549489616,0.05589559,0.488050666,16.2851582,4.661697087,2.197958464,6.760394751,dpf
LO-Cisco,9.0°C,0.503616294,7.584301518,0.755548693,0,0.529184991,14.81924885,2.014465176,3.022194773,7.080685224,dpf
LO-Cisco,9.0°C,1.001769431,7.538280187,1.047444168,0,8.17E-08,16.15143121,4.007077724,4.189776673,6.536510756,dpf
LO-Cisco,9.0°C,0.393947068,8.753507792,1.046421555,0,7.98E-07,15.56339506,1.57578827,4.185686221,8.359560724,dpf
LO-Cisco,9.0°C,1.286237684,7.287175595,0.771806564,0.048425529,0.006178473,15.59386718,5.144950738,3.087226255,6.000937911,dpf
LO-Cisco,9.0°C,1.115480547,7.125989067,1.570628729,0.290548268,0.611187959,16.05902329,4.461922189,6.282514918,6.01050852,dpf
