"date","cross","trt","plate","plate.no","well.no","length.pix","calib.pix","length.mm"
2019-05-15,"F10M14",2,13,"1-13D","1-13D-1",315.12,28.3433333333333,11.117958367635
2019-05-15,"F10M14",2,13,"1-13D","1-13D-4",332.16,28.3433333333333,11.719157944255
2019-05-15,"F10M14",2,13,"1-13D","1-13D-6",320.12,28.3433333333333,11.294366694108
2019-05-28,"F06M06",2,13,"1-13A","1-13A-2",338.64,28.8033333333333,11.7569725726189
2019-05-28,"F06M06",2,13,"1-13B","1-13B-2",341.35,28.8033333333333,11.8510589052193
2019-05-28,"F10M14",2,13,"1-13C","1-13C-3",335.09,28.8033333333333,11.6337229487328
2019-03-16,"F02M03",4.5,1,"2-1D","2-1D-2",258.44,22.04,11.7259528130672
2019-03-16,"F02M03",4.5,1,"2-1C","2-1C-1",259.73,22.04,11.7844827586207
2019-03-20,"F02M03",4.5,1,"2-1C","2-1C-6",267.22,21.5766666666667,12.384674803028
2019-03-22,"F02M03",4.5,1,"2-1D","2-1D-4",266.7,21.75,12.2620689655172
2019-03-22,"F02M03",4.5,1,"2-1C","2-1C-5",250.98,21.75,11.5393103448276
2019-03-22,"F02M03",4.5,1,"2-1C","2-1C-3",260.73,21.75,11.9875862068966
2019-03-22,"F02M03",4.5,1,"2-1C","2-1C-2",258.51,21.75,11.8855172413793
2019-03-24,"F02M03",4.5,1,"2-1D","2-1D-5",246.91,21.5566666666667,11.4539972166383
2019-03-26,"F02M03",4.5,1,"2-1D","2-1D-1",260.06,21.6033333333333,12.037957105385
2019-03-28,"F02M03",4.5,1,"2-1D","2-1D-6",258,21.4366666666667,12.0354532732079
2019-03-30,"F02M03",4.5,1,"2-1C","2-1C-4",252.74,21.3933333333333,11.8139607354316
2019-04-01,"F02M03",4.5,1,"2-1D","2-1D-3",215.84,21.53,10.0250812819322
2019-03-05,"F09M12",4.5,2,"2-2A","2-2A-5",197.72,21.81,9.06556625401192
2019-03-05,"F09M12",4.5,2,"2-2A","2-2A-6",205.92,21.81,9.44154057771664
2019-03-05,"F09M12",4.5,2,"2-2B","2-2B-3",216.21,21.81,9.91334250343879
2019-03-05,"F09M12",4.5,2,"2-2B","2-2B-5",198.61,21.81,9.10637322329207
2019-03-10,"F09M12",4.5,2,"2-2A","2-2A-3",213.55,21.18,10.0826251180359
2019-03-16,"F09M12",4.5,2,"2-2B","2-2B-2",208.67,21.5466666666667,9.68456064356435
2019-03-20,"F09M12",4.5,2,"2-2A","2-2A-4",210.68,21.4266666666667,9.83260734287492
2019-03-20,"F09M12",4.5,2,"2-2A","2-2A-1",215.85,21.4266666666667,10.073895457374
2019-03-12,"F02M03",4.5,3,"2-3D","2-3D-4",240.49,21.2933333333333,11.2941452723857
2019-03-24,"F02M03",4.5,3,"2-3C","2-3C-4",258.96,21.6933333333333,11.9373079287031
2019-03-24,"F02M03",4.5,3,"2-3D","2-3D-3",263.85,21.6933333333333,12.1627228027044
2019-03-26,"F02M03",4.5,3,"2-3C","2-3C-1",282.95,21.83,12.9615208428768
2019-03-26,"F02M03",4.5,3,"2-3C","2-3C-2",255.14,21.83,11.6875858909757
2019-03-26,"F02M03",4.5,3,"2-3C","2-3C-5",266.39,21.83,12.2029317453046
