"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",32.0567158494911,556.625914176278,55.3525414828847,79.172462602042,1218.6947218524,128.226863397964,221.410165931539,524.569198326786,"ADD"
"LO-Cisco","9.0°C",99.3924136628824,571.856928545927,41.7272781895992,47.4846960937412,1203.38342410621,397.569654651529,166.909112758397,472.464514883045,"ADD"
"LO-Cisco","9.0°C",36.799468117243,590.129612986799,77.1048106237907,26.8225208976026,1286.03195774194,147.197872468972,308.419242495163,553.330144869556,"ADD"
"LO-Cisco","9.0°C",53.7258062392765,546.674182637841,97.3496848687486,0,1263.16798945847,214.903224957106,389.398739474994,492.948376398564,"ADD"
"LO-Cisco","9.0°C",88.8387735592992,508.367794276348,52.5807207147758,0.000100200176618413,1362.11218837195,355.355094237197,210.322882859103,419.529020717049,"ADD"
"LO-Cisco","9.0°C",55.2068886150301,641.979222060402,55.3184035109913,0.000205994597618081,1270.35148529142,220.82755446012,221.273614043965,586.772333445372,"ADD"
"LO-Cisco","9.0°C",67.013737482651,653.605647099796,54.4363823651679,0.00010410529540063,1202.1733200052,268.054949930604,217.745529460672,586.591909617145,"ADD"
"LO-Cisco","9.0°C",47.685742590471,676.768334413896,83.8124090925944,17.05769898666,1259.8032022284,190.742970361884,335.249636370378,629.082591823425,"ADD"
"LO-Cisco","9.0°C",67.7381759940625,599.006274245752,35.4052075604507,3.7836804561314e-05,1299.57705361183,270.95270397625,141.620830241803,531.268098251689,"ADD"
"LO-Cisco","9.0°C",55.4994293582549,535.74510279536,111.617368851679,1.15516571871826e-06,1226.0319301749,221.99771743302,446.469475406718,480.245673437105,"ADD"
"LO-Cisco","9.0°C",37.0731888512949,552.204488433936,111.064159423095,24.9641280326914,1267.87330665721,148.29275540518,444.256637692379,515.131299582641,"ADD"
"LO-Cisco","9.0°C",23.9275154021545,605.435195518947,64.9445715886316,0,1291.40604107483,95.7100616086181,259.778286354526,581.507680116792,"ADD"
"LO-Cisco","9.0°C",70.4175694641112,669.116655236109,58.2610287450177,1.7093127680791,1235.24597550443,281.670277856445,233.044114980071,598.699085771998,"ADD"
"LO-Cisco","9.0°C",55.3599745298053,593.796668096813,76.414262295752,0.000331990973161014,1185.81697941932,221.439898119221,305.657049183008,538.436693567008,"ADD"
"LO-Cisco","9.0°C",35.243533591172,610.748138156255,97.8947053974148,20.0921124097373,1296.00259071572,140.974134364688,391.578821589659,575.504604565083,"ADD"
"LO-Cisco","9.0°C",35.2522622691433,632.334917688433,104.096810473609,0,1210.56803394511,141.009049076573,416.387241894438,597.08265541929,"ADD"
"LO-Cisco","9.0°C",49.3801282103145,528.774802639449,39.8455510799986,1.42411337448918e-06,1336.92527418618,197.520512841258,159.382204319994,479.394674429135,"ADD"
"LO-Cisco","9.0°C",48.6369396708673,610.793056901102,112.88921330091,0,1269.13136237375,194.547758683469,451.556853203639,562.156117230235,"ADD"
